assessment_name,url,description,tags,test_type,norm_name,norm_description,norm_tags
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,AI Skills : The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,ai skills,ai skills : the ai skills assessment measures the skills that help candidates successfully leverage ai in their work.,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
AI-powered Language Proficiency Tests,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,"SHL’s AI-powered suite of communication and language proficiency tests automates language assessment, helping you to faster find and hire the right people.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|See Our Solutions|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K&P,ai-powered language proficiency tests,"shl’s ai-powered suite of communication and language proficiency tests automates language assessment, helping you to faster find and hire the right people.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar|see our solutions
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"ASP .NET with C# (New): Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,asp .net with c# (new),"asp .net with c# (new): multi-choice test that measures the knowledge of .net framework and controls, c# fundamentals, oops concepts and advanced topics such as data access…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"ASP.NET 4.5: The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,asp.net 4.5,"asp.net 4.5: the asp.net 4.5 test measures knowledge of programming in the asp.net environment. designed for experienced developers, but an average performer in this role…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K&P,account manager solution,account manager solution : the account manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,accounts payable (new),"accounts payable (new): multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,accounts payable simulation (new),accounts payable simulation (new): simulated data entry test that measures the ability to process payables and vendor invoices.,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,accounts receivable (new),accounts receivable (new): multiple-choice test that measures the knowledge of processing receivables and invoices.,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,accounts receivable simulation (new),accounts receivable simulation (new): simulated data entry test that measures the ability to process receivables and invoices.,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,administrative professional - short form,administrative professional - short form: the administrative professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Adobe Experience Manager (New): Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,adobe experience manager (new),"adobe experience manager (new): multi-choice test that measures the knowledge of aem components, templates, workflows, aem collections, osgi services and troubleshooting of aem projects.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"Adobe Photoshop CC: The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,adobe photoshop cc,"adobe photoshop cc: the adobe photoshop cc test measures knowledge of adobe photoshop cc. designed for experienced users, this test covers the following topics: 3d, color, file…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Aeronautical Engineering (New): Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,aeronautical engineering (new),"aeronautical engineering (new): multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Aerospace Engineering (New): Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,aerospace engineering (new),"aerospace engineering (new): multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,agency manager solution,agency manager solution: the agency manager solution is for mid-level sales management positions that include front line management and sales responsibilities. sample tasks for this…,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,"Agile Software Development: Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,agile software development,"agile software development: multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Agile Testing (New): Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,agile testing (new),"agile testing (new): multi-choice test that measures the knowledge of tools, techniques and processes involved in the agile testing methodology.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,"Amazon Web Services (AWS) Development (New): Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,amazon web services (aws) development (new),"amazon web services (aws) development (new): multi-choice test that measures the knowledge of aws delivery process, monitoring, metrics, logging, security, validation and scalability.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
