assessment_name,url,description,tags,test_type
Develop Leadership Skills that Shape Enterprise Success,https://www.shl.com/solutions/talent-management/enterprise-leader-development/,SHL’s leadership development solution uses leadership skills assessment data to help organizations develop leadership skills and drive business results.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Find and Retain Your HIPO Talent,https://www.shl.com/solutions/talent-management/hipo/,"Identify true high potential employees and improve talent retention: find those with the ability and aspiration to lead, as well as the commitment to stay.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|latest guide,K
Fuel Manager Development with Data-Driven Insights,https://www.shl.com/solutions/talent-management/manager-development/,SHL’s Manager Development drives business success with competency assessments and people analytics that align skills to company goals.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K&P
Boost Sales Performance with the Right Sellers in the Right Place,https://www.shl.com/solutions/talent-management/sales-transformation/,"Accelerate sales performance and close sales competency gaps by assembling a digital first sales team with the right sellers in the right place, at the right time.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K&P
SHL Talent Mobility: Match People to Opportunities – and Opportunities to People,https://www.shl.com/solutions/talent-management/talent-mobility/,"SHL Talent Mobility uses objective skills data to help you create skills-based job profiles, close skills gaps, and redeploy employees.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Skills Development Solution,K
SHL Motivational Questionnaire,https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,"Build an engaged, high-performing workforce using our motivation questionnaire (MQ) by matching individual employee motivation to team and organizational goals.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|talent acquisition|management|See Our Solutions,K&P
Situational Judgement Tests,https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,"Using our Situational Judgment Tests (SJT), you can measure candidates' behavioral fit to a given role by assessing their response to a specific work situation.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|talent acquisition|View SHL Solutions,K&P
SHL Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/,"Measure candidates' potential and ability to learn, adapt, and succeed in any role with SHL's cognitive ability tests and assessments.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K
Measure Past Performance and Future Potential,https://www.shl.com/products/360/,"Make strategic employee decisions with confidence and identify development gaps by gathering on-demand, 360-degree feedback from multiple stakeholders.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K
SHL Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/,"Improve your hiring process with science-backed personality assessments that reveal each candidate’s preferences, motivations, and remote-work capability.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K&P
The Smarter Way to Interview Talent,https://www.shl.com/products/video-interviews/,Screen thousands of candidates quickly with our video interview tool and provide a seamless live video interview experience for shortlisted applicants.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Learn More|See Our Solutions,K
Assess Agents in a Real Contact Center Environment,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/,SHL’s Call Center Simulations and assessment tool helps you to identify agents with the critical competencies and personality in a real-life call center environment.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K&P
Business Skills Assessment Tests for Deep Insights,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/,"With our computer literacy test, assess candidates' Microsoft Office proficiency, such as working with graphs and charts, creating presentations, and more.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K
SHL Coding Skills Assessment and Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,"Shortlist 45% more candidates within half the usual hiring time with our coding skills assessment for full stack, data engineering, front-end and more roles.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K
"Fast, Simple Technical Skill Assessment",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,"SHL Technical Skills assessment helps you to measure knowledge of 180+ technology concepts in less than 15 minutes for Full Stack, Front-end, Data Science, DevOps, and more roles.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K
AI-powered Language Proficiency Tests,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,"SHL’s AI-powered suite of communication and language proficiency tests automates language assessment, helping you to faster find and hire the right people.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K
Consulting Services,https://www.shl.com/solutions/services/,"Our team of HR experts, occupational psychologists, and implementation advisers will help your organization select and develop the right people for the right roles.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|solutions|talent acquisition|talent management|Find Out More|See Our Solutions,K
SHL Managed Services,https://www.shl.com/solutions/services/managed-services/,"Whether for a small or big organization, outsourcing to an expert team like SHL can simplify and streamline your assessment administration.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Training Services from the People Experts,https://www.shl.com/solutions/services/training-services/,Check out our assessment training and learn the skills you need to identify the best candidate for the job and the employee with the most potential.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Find Out More|See Our Solutions,K
SHL Personality and Ability Assessment Course,https://www.shl.com/solutions/services/training-services/personality-and-ability-assessment-training/,"Upon successful completion of this training, you will be certified to administer, interpret, and provide feedback on ability tests and personality assessments.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Access the Calendar|See Our Solutions,K&P
Course Offerings to Support HR Professionals,https://www.shl.com/solutions/services/training-calendar/,We offer a wide range of courses designed to support HR professionals based on internationally recognized standards and delivered by experienced HR practitioners.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Persoonlijkheids- en Vaardigheidstraining (09.00 - 12.30)|Virtual Personality & Ability Assessment (09.00 - 12.30)|Virtual Personality & Ability Assessment|Personality & Ability Assessment|Virtual Personality & Ability Assessment 1:30 - 4:00 PM EST|Vurdering af personlighed og evner (09.00 - 12.30)|Virtual Competency Based Interviewing|Personality & Ability Assessment Training|Virtual Assessor Training|2|3|8|Next,K&P
Go Digital and Deliver a Superior Experience,https://www.shl.com/products/assessments/assessment-and-development-centers/,Our end-to-end virtual assessment and development centers provide the most efficient and accurate way of identifying potential from anywhere in the world.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|See Our Solutions,K
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
